比赛名称,比赛开始时间,比赛时长,备注信息
Kotlin Heroes: Practice 9 (release 2),2023-12-01T22:25:00,10:00:00,ContestId:1911
Codeforces Round 913 (Div. 3),2023-12-05T22:35:00,02:15,ContestId:1907
牛客挑战赛71,2023-12-08T19:00:00,3小时,Id:71320
estie Programming Contest 2023 (AtCoder Regular Contest 169),2023-12-09T20:00:00,02:00,
Codeforces Round (Div. 2),2023-12-10T00:05:00,02:00,ContestId:1904
LeetCode第375场周赛,2023-12-10T10:30:00,01:30,
牛客周赛 Round 23,2023-12-10T19:00:00,1小时30分钟,Id:71593
AtCoder Beginner Contest 332,2023-12-10T20:00:00,01:40,
Kotlin Heroes: Episode 9,2023-12-11T22:35:00,02:30,ContestId:1910
Toyota Programming Contest 2023#8（AtCoder Beginner Contest 333）,2023-12-16T20:00:00,01:40,
LeetCode第119场双周赛,2023-12-16T22:30:00,01:30,
Codeforces Round (Div. 2),2023-12-16T22:35:00,02:00,ContestId:1905
LeetCode第376场周赛,2023-12-17T10:30:00,01:30,
AtCoder Grand Contest 065,2023-12-17T20:00:00,03:00,
RECRUIT Nihonbashi Half Marathon 2024 Winter（AtCoder Heuristic Contest 029）,2023-12-22T11:00:00,105:00,
Codeforces Round (Div. 1 + Div. 2),2023-12-23T22:35:00,02:30,ContestId:1909
牛客2023跨年场,2023-12-31T21:00:00,3小时5分钟,Id:70257
PTA跨年挑战赛,2024-01-01T00:00:00,N/A,
2024 New Year ICPC Challenge powered by Huawei,2024-01-12T15:00:00,14:00:00,ContestId:1908
2024牛客寒假算法基础集训营1,2024-02-02T13:00:00,5小时,Id:67741
2024牛客寒假算法基础集训营2,2024-02-05T13:00:00,5小时,Id:67742
